Startup_ID,Startup_Name,Sector,City,Founded_Year,Funding_Stage,Total_Funding_USD,Investor,Status,Employees,Annual_Revenue_USD,Survival_Years,Is_Unicorn
IN0001,Startup_1,EdTech,Bengaluru,2021,Series C,11335000,Accel Partners,Closed,4469,0,1,0
IN0002,Startup_2,HRTech,Kolkata,2010,Pre-Seed,822000,Elevation Capital,Active,219,387000,13,0
IN0003,Startup_3,TravelTech,Kolkata,2013,Grant,3644000,Sequoia Capital India,Closed,1309,0,7,0
IN0004,Startup_4,AgriTech,Pune,2012,Series B,13530000,Accel Partners,Merged,3114,0,2,0
IN0005,Startup_5,AgriTech,Chennai,2019,Series C,29216000,SAIF Partners,Acquired,1024,0,4,0
IN0006,Startup_6,EdTech,Jaipur,2014,Series D+,56425000,Sequoia Capital India,Closed,1868,0,5,0
IN0007,Startup_7,EdTech,Hyderabad,2023,Seed,36382000,Y Combinator,Closed,2990,0,1,0
IN0008,Startup_8,AgriTech,Chennai,2013,Series C,27374000,Accel Partners,Closed,4992,0,3,0
IN0009,Startup_9,TravelTech,Hyderabad,2012,Grant,4453000,Bootstrapped,Closed,4564,0,4,0
IN0010,Startup_10,AgriTech,Bengaluru,2013,Pre-Seed,1611000,Accel Partners,Acquired,1730,0,10,0
IN0011,Startup_11,AgriTech,Hyderabad,2020,Grant,3659000,Blume Ventures,Closed,1172,0,2,0
IN0012,Startup_12,HealthTech,Hyderabad,2021,Series C,38731000,Elevation Capital,Closed,3273,0,2,0
IN0013,Startup_13,E-Commerce,Delhi NCR,2018,Grant,556000,Accel Partners,Active,1254,289000,5,0
IN0014,Startup_14,LogisticsTech,Noida,2011,Bootstrapped,5977000,SAIF Partners,Closed,2061,0,9,0
IN0015,Startup_15,FinTech,Mumbai,2020,Series C,41151000,Nexus Venture,Closed,3563,0,1,0
IN0016,Startup_16,FoodTech,Bengaluru,2021,Series C,38134000,SAIF Partners,Merged,873,0,2,0
IN0017,Startup_17,TravelTech,Noida,2013,Series A,7354000,Government Grant,Closed,4346,0,1,0
IN0018,Startup_18,HRTech,Chennai,2017,Pre-Seed,1277000,Y Combinator,Active,2521,293000,6,0
IN0019,Startup_19,E-Commerce,Noida,2011,Seed,89836000,Government Grant,Closed,4365,0,3,0
IN0020,Startup_20,HealthTech,Ahmedabad,2018,Series A,78557000,Matrix Partners,Closed,1737,0,5,0
IN0021,Startup_21,E-Commerce,Pune,2016,Series D+,57126000,Accel Partners,Closed,2032,0,2,0
IN0022,Startup_22,EdTech,Chennai,2010,Series B,774000,Angel Network,Closed,484,0,4,0
IN0023,Startup_23,EdTech,Bengaluru,2023,Series D+,19193000,Bootstrapped,Active,3978,4044000,0,0
IN0024,Startup_24,HealthTech,Noida,2019,Grant,4273000,Matrix Partners,Closed,1561,0,1,0
IN0025,Startup_25,EdTech,Kolkata,2015,Bootstrapped,6913000,Sequoia Capital India,Closed,808,0,1,0
IN0026,Startup_26,LogisticsTech,Chennai,2022,Seed,11574000,Blume Ventures,Closed,1150,0,2,0
IN0027,Startup_27,HealthTech,Pune,2017,Series B,7062000,Government Grant,Acquired,4510,0,1,0
IN0028,Startup_28,FinTech,Jaipur,2023,Pre-Seed,11120000,Y Combinator,Merged,1938,0,1,0
IN0029,Startup_29,LogisticsTech,Ahmedabad,2017,Series B,54166000,Tiger Global,Acquired,3106,0,1,0
IN0030,Startup_30,LogisticsTech,Pune,2022,Grant,4186000,Angel Network,Closed,4554,0,2,0
IN0031,Startup_31,HealthTech,Hyderabad,2014,Series B,52252000,SAIF Partners,Merged,501,0,6,0
IN0032,Startup_32,FinTech,Bengaluru,2019,Grant,10240000,Tiger Global,Closed,467,0,1,0
IN0033,Startup_33,HealthTech,Mumbai,2019,Seed,21398000,Accel Partners,Closed,4668,0,2,0
IN0034,Startup_34,HRTech,Noida,2010,Seed,20470000,SAIF Partners,Closed,2593,0,5,0
IN0035,Startup_35,E-Commerce,Chennai,2013,Series C,74017000,Nexus Venture,Closed,3747,0,6,0
IN0036,Startup_36,EdTech,Bengaluru,2017,Seed,17210000,Nexus Venture,Active,1087,12907000,6,0
IN0037,Startup_37,EdTech,Hyderabad,2015,Series C,66733000,Angel Network,Closed,2480,0,1,0
IN0038,Startup_38,TravelTech,Pune,2020,Seed,6130000,Accel Partners,Merged,878,0,3,0
IN0039,Startup_39,TravelTech,Delhi NCR,2014,Series C,32321000,SoftBank,Closed,2164,0,9,0
IN0040,Startup_40,FoodTech,Pune,2023,Pre-Seed,2126000,Nexus Venture,Active,363,112000,0,0
IN0041,Startup_41,HealthTech,Pune,2012,Grant,3866000,Sequoia Capital India,Closed,918,0,2,0
IN0042,Startup_42,HealthTech,Jaipur,2010,Series D+,13584000,Tiger Global,Closed,344,0,5,0
IN0043,Startup_43,AgriTech,Bengaluru,2015,Series B,26711000,Kalaari Capital,Closed,4588,0,7,0
IN0044,Startup_44,HRTech,Delhi NCR,2013,Series A,28396000,500 Startups,Merged,3379,0,1,0
IN0045,Startup_45,HealthTech,Chennai,2022,Bootstrapped,7781000,Government Grant,Acquired,2034,0,2,0
IN0046,Startup_46,HealthTech,Mumbai,2016,Pre-Seed,2025000,Y Combinator,Acquired,3772,0,3,0
IN0047,Startup_47,SaaS,Hyderabad,2013,Pre-Seed,2798000,Nexus Venture,Closed,570,0,5,0
IN0048,Startup_48,AgriTech,Jaipur,2016,Series D+,4702000,Nexus Venture,Merged,1464,0,5,0
IN0049,Startup_49,SaaS,Bengaluru,2011,Bootstrapped,5508000,Matrix Partners,Closed,4968,0,9,0
IN0050,Startup_50,EdTech,Kolkata,2019,Series B,56761000,Sequoia Capital India,Closed,4261,0,2,0
IN0051,Startup_51,AgriTech,Kolkata,2011,Series D+,26569000,Accel Partners,Closed,2462,0,9,0
IN0052,Startup_52,SaaS,Kolkata,2015,Bootstrapped,3888000,SoftBank,Closed,3446,0,7,0
IN0053,Startup_53,HealthTech,Noida,2019,Series C,75085000,Nexus Venture,Closed,2352,0,2,0
IN0054,Startup_54,LogisticsTech,Noida,2019,Series D+,26641000,SoftBank,Closed,4189,0,4,0
IN0055,Startup_55,HealthTech,Mumbai,2014,Series D+,85694000,SoftBank,Active,2544,18722000,9,1
IN0056,Startup_56,E-Commerce,Delhi NCR,2010,Pre-Seed,5248000,Y Combinator,Closed,598,0,8,0
IN0057,Startup_57,LogisticsTech,Noida,2013,Bootstrapped,1479000,Bootstrapped,Closed,47,0,2,0
IN0058,Startup_58,LogisticsTech,Hyderabad,2012,Grant,1510000,Y Combinator,Active,996,592000,11,0
IN0059,Startup_59,FoodTech,Jaipur,2018,Series D+,44588000,Elevation Capital,Merged,4137,0,4,0
IN0060,Startup_60,TravelTech,Ahmedabad,2012,Grant,3386000,Y Combinator,Closed,2273,0,9,0
IN0061,Startup_61,FoodTech,Hyderabad,2014,Grant,1439000,Nexus Venture,Active,2753,417000,9,0
IN0062,Startup_62,TravelTech,Mumbai,2012,Series A,31258000,Angel Network,Closed,1754,0,2,0
IN0063,Startup_63,LogisticsTech,Kolkata,2015,Grant,1257000,Matrix Partners,Closed,3192,0,1,0
IN0064,Startup_64,HRTech,Kolkata,2017,Pre-Seed,1052000,Matrix Partners,Merged,3434,0,5,0
IN0065,Startup_65,TravelTech,Noida,2013,Grant,1967000,Sequoia Capital India,Closed,3187,0,6,0
IN0066,Startup_66,LogisticsTech,Delhi NCR,2023,Grant,5885000,SAIF Partners,Acquired,222,0,2,0
IN0067,Startup_67,HRTech,Noida,2020,Pre-Seed,1506000,Y Combinator,Active,3784,281000,3,0
IN0068,Startup_68,SaaS,Kolkata,2015,Series B,23724000,500 Startups,Closed,3107,0,5,0
IN0069,Startup_69,LogisticsTech,Pune,2023,Seed,44992000,Sequoia Capital India,Closed,2868,0,1,0
IN0070,Startup_70,EdTech,Bengaluru,2022,Pre-Seed,1611000,Sequoia Capital India,Merged,1250,0,1,0
IN0071,Startup_71,HealthTech,Ahmedabad,2020,Seed,19851000,Angel Network,Closed,2101,0,2,0
IN0072,Startup_72,HealthTech,Noida,2019,Seed,14990000,Nexus Venture,Closed,887,0,1,0
IN0073,Startup_73,SaaS,Noida,2020,Bootstrapped,5009000,Accel Partners,Closed,4852,0,3,0
IN0074,Startup_74,E-Commerce,Mumbai,2021,Series C,66205000,Accel Partners,Acquired,4638,0,1,0
IN0075,Startup_75,AgriTech,Jaipur,2016,Series D+,25937000,Sequoia Capital India,Active,3443,17293000,7,0
IN0076,Startup_76,EdTech,Kolkata,2015,Grant,3495000,Angel Network,Closed,4276,0,5,0
IN0077,Startup_77,HRTech,Jaipur,2022,Grant,2892000,Elevation Capital,Closed,2200,0,2,0
IN0078,Startup_78,E-Commerce,Mumbai,2014,Grant,5133000,Elevation Capital,Closed,3106,0,6,0
IN0079,Startup_79,FinTech,Ahmedabad,2023,Series D+,25848000,Government Grant,Closed,2118,0,2,0
IN0080,Startup_80,SaaS,Noida,2021,Series C,36236000,SoftBank,Closed,703,0,1,0
IN0081,Startup_81,LogisticsTech,Ahmedabad,2018,Series B,38825000,Blume Ventures,Closed,3673,0,1,0
IN0082,Startup_82,EdTech,Pune,2013,Bootstrapped,2464000,Elevation Capital,Closed,3025,0,8,0
IN0083,Startup_83,TravelTech,Jaipur,2015,Bootstrapped,2481000,Kalaari Capital,Merged,3719,0,5,0
IN0084,Startup_84,SaaS,Pune,2013,Seed,22191000,Angel Network,Closed,4391,0,3,0
IN0085,Startup_85,E-Commerce,Hyderabad,2021,Grant,6502000,Government Grant,Closed,4299,0,2,0
IN0086,Startup_86,EdTech,Hyderabad,2014,Series B,24321000,Angel Network,Closed,4377,0,3,0
IN0087,Startup_87,SaaS,Bengaluru,2010,Series C,8971000,Y Combinator,Closed,4023,0,2,0
IN0088,Startup_88,FinTech,Noida,2014,Grant,4121000,Sequoia Capital India,Closed,2070,0,8,0
IN0089,Startup_89,EdTech,Mumbai,2016,Grant,5043000,Sequoia Capital India,Active,1244,816000,7,0
IN0090,Startup_90,HRTech,Pune,2011,Series B,26779000,Elevation Capital,Closed,4885,0,10,0
IN0091,Startup_91,E-Commerce,Jaipur,2016,Grant,3299000,Elevation Capital,Acquired,3514,0,3,0
IN0092,Startup_92,HRTech,Noida,2010,Seed,7352000,SoftBank,Merged,2169,0,11,0
IN0093,Startup_93,EdTech,Delhi NCR,2013,Series A,12691000,Matrix Partners,Closed,3692,0,10,0
IN0094,Startup_94,FoodTech,Pune,2010,Series B,14244000,Y Combinator,Closed,3721,0,2,0
IN0095,Startup_95,E-Commerce,Pune,2022,Series B,60084000,Bootstrapped,Closed,1222,0,2,0
IN0096,Startup_96,HealthTech,Mumbai,2010,Series A,53675000,Y Combinator,Closed,4664,0,5,0
IN0097,Startup_97,FoodTech,Mumbai,2017,Series C,47142000,SAIF Partners,Closed,4425,0,4,0
IN0098,Startup_98,FoodTech,Mumbai,2019,Pre-Seed,3677000,Elevation Capital,Acquired,2053,0,1,0
IN0099,Startup_99,EdTech,Hyderabad,2020,Pre-Seed,5385000,Nexus Venture,Merged,4722,0,1,0
IN0100,Startup_100,HealthTech,Ahmedabad,2018,Grant,1658000,Elevation Capital,Acquired,3572,0,4,0
IN0101,Startup_101,EdTech,Ahmedabad,2015,Bootstrapped,5368000,Y Combinator,Closed,1319,0,6,0
IN0102,Startup_102,LogisticsTech,Ahmedabad,2014,Bootstrapped,3310000,Blume Ventures,Acquired,723,0,6,0
